,Courtyard_ID,Courtyard_area(m2),Water_place_area(m2),Green_area(m2),Courtyard_length(m),Courtyard_width(m),Courtyard_direction(deg),Water_place_length(m),Water_place_width(m),Water_place_direction(deg),House_area(m2),House_length(m),House_width(m),House_direction(deg),City,climate_divisions,latitude,longitude,altitude,temp_air_mean,temp_air_min,temp_air_50%,temp_air_max,temp_dew_mean,temp_dew_min,temp_dew_50%,temp_dew_max,relative_humidity_mean,relative_humidity_min,relative_humidity_50%,relative_humidity_max,atmospheric_pressure_mean,atmospheric_pressure_min,atmospheric_pressure_50%,atmospheric_pressure_max,etr_mean,etr_min,etr_50%,etr_max,ghi_infrared_mean,ghi_infrared_min,ghi_infrared_50%,ghi_infrared_max,dni_mean,dni_min,dni_50%,dni_max,dhi_mean,dhi_min,dhi_50%,dhi_max,global_hor_illum_mean,global_hor_illum_min,global_hor_illum_50%,global_hor_illum_max,diffuse_horizontal_illum_mean,diffuse_horizontal_illum_min,diffuse_horizontal_illum_50%,diffuse_horizontal_illum_max,wind_direction_mean,wind_direction_50%,wind_speed_mean,wind_speed_min,wind_speed_50%,wind_speed_max,precipitable_water_mean,precipitable_water_min,precipitable_water_50%,precipitable_water_max,Water_place/Courtyard_area_Ratio,Green/Courtyard_area_Ratio,Courtyard/House_area_Ratio,Water_place/House_area_Ratio,Green/House_area_Ratio,Courtyard_Ratio,House_Ratio,Water_place_Ratio
Abarkooh,,114.69160455645947,38.06695313341998,5.021151863919821,12.169598437243376,9.74057709797981,194.95802323913853,6.55534514665614,5.039514931171817,163.01172009317318,400.91081219815527,25.697310959223284,18.207028770582493,186.30026572343783,,,31.183000000000728,52.66699999999836,2004.0,14.828356000000129,-12.0,14.300000000000358,35.80000000000189,-3.8679222999999268,-24.90000000000004,-3.7000000000001108,12.800000000000058,32.21210000000061,2.0,27.0,100.0,80027.62000000315,78524.0,79989.0,81529.0,363.12124999999503,,10.0,1304.0,311.270900000003,195.0,308.0,448.0,257.4187300000046,,,873.0,78.1129000000014,,2.0,498.0,29542.751999999902,,213.0,128522.0,9228.20300000056,,214.5,58110.0,193.4034299999981,209.0,2.4314383999999456,,2.0,18.0,6.386187000000059,1.0,6.0,29.0,0.2758365281015152,0.03853850268017817,0.3182685720080226,0.09793232148283089,0.013599395635530077,1.2688360745745728,1.4590114642718446,1.41824139722598
Birjand,,74.92819446690831,28.707582570094505,4.738391966222221,9.882007741731247,8.127390555945318,188.14700315545525,6.219359473677859,4.90064134687611,165.8916754845864,314.5573675086211,22.705933374172165,16.362902117700177,185.9000471590469,,,32.89800000000073,59.266000000002364,1509.3999999999414,16.979292000000445,-12.0,17.0,39.30000000000162,-2.579737400000074,-31.0,-2.800000000000111,13.0,33.16472600000137,1.0,25.0,100.0,84915.93000000449,83467.0,84886.0,86112.0,356.71346999999014,,,1305.0,325.1289999999917,199.0,325.0,476.0,239.3893900000115,,,867.0,77.74224000000066,,,494.0,28018.413999998982,,,129255.0,9158.728000000101,,,57485.0,153.42317000000227,120.0,3.4089270000001597,,3.1000000000001076,14.400000000000572,7.7648399999998485,,6.0,31.0,0.42144907248562374,0.05001194394444443,0.28290273425700396,0.11714836987688002,0.015950090695999997,1.2219717247799946,1.436098513907282,1.3655027779584465
Bushehr,,110.58549202063855,42.79799809854017,7.504006434825871,12.18721134015627,9.577688945156254,186.75975022203005,7.067592412591237,5.192849291947072,180.94357974693915,453.95392716666674,26.56991408884804,19.496905244117638,188.78760109175516,,,28.944999999999755,50.83499999999924,20.700000000000465,25.88457700000045,4.0,27.0,45.0,17.17730500000004,-7.0,17.4000000000002,31.30000000000012,60.535045999999824,12.0,60.0,100.0,100943.3700000017,98974.0,101085.0,102257.0,370.57318000000566,,8.0,1312.0,395.1388199999938,257.0,401.0,506.0,253.13504000000077,,,872.0,67.70491000000035,,2.0,475.0,28335.905999999944,,150.0,127756.0,8004.107000000053,,151.0,55505.0,223.98996000000207,260.0,3.0504338999999403,,3.0,17.5,63.73675999999979,5.0,54.0,212.0,0.32045794442031633,0.06419654845522388,0.2830070505285997,0.10741586439589923,0.020084280264748205,1.2976058655227443,1.391157365441177,1.5118649560077522
Esfehan,,149.38545025850019,50.99247477452084,8.237394721893493,14.089294093376886,11.248723291930979,178.3396660094812,7.7517340584732874,5.900735823800442,174.27734120921943,526.8867367437821,30.711304845312505,22.18786630239582,176.7710982436604,,,32.75099999999875,51.86199999999779,1545.8999999999417,16.552716999999348,-11.0,16.59999999999933,41.0,-2.5590524999998645,-24.0,-2.0,15.0,32.59805999999877,2.0,28.0,100.0,84557.375,83146.0,84519.0,85869.0,357.56165000000954,,9.5,1298.0,323.2230499999966,200.0,322.0,479.0,242.1859599999879,,,865.0,77.50604999999848,,2.0,499.0,28058.818000001625,,205.0,126843.0,9135.45800000026,,206.5,58329.0,197.19202000000303,217.0,2.9215412000000796,,3.0,18.0,7.716894999999699,1.0,7.0,37.0,0.31938121892361865,0.046902454671893495,0.32705899007981504,0.10963733474028388,0.016760068434247117,1.2740754301029988,1.4319245469791677,1.4097111525959352
Kong,,95.38143097042514,47.384959140103355,4.107638186111112,11.306038622064266,8.951395349876387,201.66024601138628,7.758537104700253,6.29990269454088,186.67930339377554,357.5381891853744,23.429426332538718,17.26841296460069,194.55880578544057,,,26.53199999999941,54.824999999998354,20.40000000000061,27.316700000000484,9.0,28.0,46.0,18.998824999999535,-20.0,20.0,31.0,62.91187300000084,7.0,64.0,100.0,100867.1599999972,98716.0,101088.0,102477.0,377.75504000000024,,6.5,1321.0,398.6049199999987,268.0,405.0,506.0,275.2575400000067,,,878.0,65.54588999999822,,2.0,478.0,29812.570000000265,,146.0,128380.0,7798.799000000108,,147.0,55437.0,176.16428000000005,180.0,3.843002300000065,,3.5,35.0,80.93722000000342,1.0,71.0,210.0,0.42096450825516313,0.04682524902976192,0.2982750315204087,0.14252064649209895,0.015157322076271188,1.2866085055908532,1.4019244078665074,1.3611852373868039
Meybod,,159.6375836295507,60.00575843729331,5.801477862183027,14.76323454519381,11.724950946996138,161.12544580480804,9.161151529336417,6.804075635291558,170.89606787505735,539.4014787402577,31.135716585772307,21.477231433252076,171.94774145466408,,,31.90499999999898,54.277000000001536,1235.7000000001142,20.63882399999841,-5.400000000000449,22.0,44.0,-3.465159999999821,-28.0,-3.0,14.0,25.424087999999767,2.0,19.0,100.0,87829.54000000714,86105.0,87849.5,89217.0,360.5412000000325,,10.5,1304.0,340.9233999999836,221.0,343.0,462.0,241.31860000001717,,,869.0,78.4231700000058,,2.0,520.0,28310.14499999963,,194.5,127842.0,9245.456000000207,,195.5,60723.0,214.58984000000896,231.0,2.668641599999758,,2.100000000000202,20.0,6.946460999999701,1.0,6.0,35.0,0.3450181011145477,0.038265417764167566,0.3449331646120786,0.12271534919116762,0.01384797561069735,1.275811800371388,1.528150669308943,1.4670286277704765
Semnan,,70.53068113837638,24.259949956306706,3.5784345431226767,9.667560925324274,7.702958320815313,198.92649556995866,5.297636076966288,4.087341379288886,188.9759463648001,251.63198271724116,20.54165154475308,14.508340950102884,191.37616717720115,,,35.59100000000032,53.49499999999972,1117.10000000003,18.878846999999954,-6.0,19.0,41.59999999999919,-0.13665525999999814,-23.0,,16.0,33.18470399999944,3.0,28.0,100.0,88981.280000001,87473.0,89006.0,90212.0,347.27157999999633,,13.0,1287.0,338.63425000000257,219.0,337.0,481.0,231.09966000000585,,,866.0,75.8372099999986,,2.5,503.0,26583.00599999961,,232.5,124830.0,8910.134999999811,,234.0,58483.0,199.91699999999815,200.0,2.143036599999966,,2.0,15.400000000000336,9.97260300000014,1.0,9.0,43.0,0.32285942099780673,0.04543064658624537,0.32725873670574696,0.109413729563,0.016376687390673585,1.2816550014447234,1.4690720939300392,1.4341828828528065
Shiraz,,127.75420892841997,37.93783789058184,8.069152523236012,13.000899423422954,10.290829311871198,168.9930528901107,6.481359613417954,4.876229785022034,175.1379494811343,431.13223534892995,26.45439740628753,18.876871699679548,172.50414069608806,,,29.539000000001042,52.58900000000481,1499.5999999999524,18.93906399999934,-6.0,18.80000000000133,42.0,1.5167238000000571,-19.0,2.0,17.0,38.11255599999736,3.0,33.0,100.0,85116.375,83488.0,85098.0,86332.0,368.55056999998055,,8.5,1309.0,339.01279999999906,219.0,336.0,496.0,243.03252999999276,,,865.0,78.82260000000765,,1.5,505.0,28928.44300000255,,143.5,128471.0,9300.980999999461,,144.5,58979.0,198.52442999999244,210.0,1.7360159999998939,,2.0,18.0,11.151369999999632,1.0,10.0,46.0,0.27601951992345447,0.05019099781265202,0.335375677710896,0.09696161236136702,0.019991696594675545,1.2805267528833042,1.4393290822186622,1.390635011254853
Yazd,,85.53125041375338,18.093479360761968,5.041247271516749,10.543148575460197,8.38231054672027,182.32849835204098,4.638330035620926,3.3793778680210482,187.20503752445111,318.31167061286214,22.246038086789945,16.24926863873186,177.18084996227444,,,31.90499999999897,54.277000000001564,1235.7000000001199,20.63882399999808,-5.400000000000529,22.0,44.0,-3.465159999999815,-28.0,-3.0,14.0,25.424087999999767,2.0,19.0,100.0,87829.54000000827,86105.0,87849.5,89217.0,360.5412000000374,,10.5,1304.0,340.92339999998256,221.0,343.0,462.0,241.3186000000249,,,869.0,78.4231700000072,,2.0,520.0,28310.145000000506,,194.5,127842.0,9245.45600000021,,195.5,60723.0,214.58984000001058,231.0,2.6686415999997233,,2.100000000000215,20.0,6.9464609999996885,1.0,6.0,35.0,0.18442009097316478,0.05042562672283946,0.3205859410913185,0.06595635124507886,0.018448974718718918,1.2753398175384627,1.405367525891681,1.5034568868799991
