,Courtyard_ID,Courtyard_area(m2),Water_place_area(m2),Green_area(m2),Courtyard_length(m),Courtyard_width(m),Courtyard_direction(deg),Water_place_length(m),Water_place_width(m),Water_place_direction(deg),House_area(m2),House_length(m),House_width(m),House_direction(deg),City,climate_divisions,latitude,longitude,altitude,temp_air_mean,temp_air_min,temp_air_50%,temp_air_max,temp_dew_mean,temp_dew_min,temp_dew_50%,temp_dew_max,relative_humidity_mean,relative_humidity_min,relative_humidity_50%,relative_humidity_max,atmospheric_pressure_mean,atmospheric_pressure_min,atmospheric_pressure_50%,atmospheric_pressure_max,etr_mean,etr_min,etr_50%,etr_max,ghi_infrared_mean,ghi_infrared_min,ghi_infrared_50%,ghi_infrared_max,dni_mean,dni_min,dni_50%,dni_max,dhi_mean,dhi_min,dhi_50%,dhi_max,global_hor_illum_mean,global_hor_illum_min,global_hor_illum_50%,global_hor_illum_max,diffuse_horizontal_illum_mean,diffuse_horizontal_illum_min,diffuse_horizontal_illum_50%,diffuse_horizontal_illum_max,wind_direction_mean,wind_direction_50%,wind_speed_mean,wind_speed_min,wind_speed_50%,wind_speed_max,precipitable_water_mean,precipitable_water_min,precipitable_water_50%,precipitable_water_max,Water_place/Courtyard_area_Ratio,Green/Courtyard_area_Ratio,Courtyard/House_area_Ratio,Water_place/House_area_Ratio,Green/House_area_Ratio,Courtyard_Ratio,House_Ratio,Water_place_Ratio
Bsh,,127.75420892841997,37.93783789058184,8.069152523236012,13.000899423422954,10.290829311871198,168.9930528901107,6.481359613417954,4.876229785022034,175.1379494811343,431.13223534892995,26.45439740628753,18.876871699679548,172.50414069608806,,,29.539000000001042,52.58900000000481,1499.5999999999524,18.93906399999934,-6.0,18.80000000000133,42.0,1.5167238000000571,-19.0,2.0,17.0,38.11255599999736,3.0,33.0,100.0,85116.375,83488.0,85098.0,86332.0,368.55056999998055,,8.5,1309.0,339.01279999999906,219.0,336.0,496.0,243.03252999999276,,,865.0,78.82260000000765,,1.5,505.0,28928.44300000255,,143.5,128471.0,9300.980999999461,,144.5,58979.0,198.52442999999244,210.0,1.7360159999998939,,2.0,18.0,11.151369999999632,1.0,10.0,46.0,0.27601951992345447,0.05019099781265202,0.335375677710896,0.09696161236136702,0.019991696594675545,1.2805267528833042,1.4393290822186622,1.390635011254853
Bsk,,128.96127634233738,43.68151615773761,6.953756461244437,12.959129894513717,10.360846700863252,188.07008365522267,6.994356203933572,5.3581416571049365,167.2438317557743,452.5006685551883,27.2911633203642,19.472460568774792,183.24297711213325,,,31.827922605363007,52.33590134099381,1815.5822413794635,15.537590304022517,-11.588697318007663,15.245996168583169,37.93877394636126,-3.329580640881466,-24.52982758620692,-3.0007854406130923,13.704865900383174,32.37084638314048,2.0,27.411302681992336,100.0,81890.72038027005,80425.04099616858,81852.20114942528,83314.05363984674,360.83457160921176,,9.794348659003832,1301.532183908046,316.18685135054716,197.0565134099617,313.75823754789275,460.7503831417624,251.15345084481913,,,869.7095785440613,77.86330096744264,,2.0,498.4113026819923,28932.405965900136,,209.70957854406132,127831.42279693487,9190.056732758056,,211.20957854406132,58200.075287356325,194.96168722795122,212.29042145593868,2.6330189960917223,,2.4113026819923373,18.0,6.933510769348954,1.0,6.411302681992337,32.2904214559387,0.2947513864556808,0.04356430849919997,0.3218684376750356,0.10300425408670587,0.015487779153102652,1.2710163323982053,1.4504010534768215,1.4150443596869717
Bwh,,90.77403965376129,37.43152838748832,4.855995856509688,10.96847069825108,8.681401161678087,196.48149953659066,6.740963454737344,5.259827588104051,185.93760828586576,345.9667897210287,23.336438481537858,16.93939115340691,191.601447777776,,,30.464986101919298,53.21773328921087,413.8743878226465,23.884360509596785,2.203176704169424,24.488418266048974,44.13845135671949,11.618917084103252,-17.393778954334877,18.85159958720339,25.704434149569856,51.57540208405686,6.981469225678358,49.9536730641959,100.0,96625.24796822353,94756.18398411648,96753.30244870947,98015.19324950365,364.78623033749307,,9.256452680344143,1306.2547981469227,376.1114759628869,247.30774321641297,379.47518199867636,497.03242885506285,253.15164922567863,,,871.9960291197882,69.84897140304918,,2.1793514228987427,486.11780277961617,28235.842084710246,,178.1608206485771,126929.85307743217,8255.59313368643,,179.34017207147585,56548.870284579745,198.23136489743462,209.83454665784248,3.008719914427692,,2.8203176704169426,23.012442091328158,50.60987433884837,2.133024487094639,43.945069490403704,150.6631369953673,0.35789980186935916,0.051141707654709066,0.30466759304864083,0.12008176972860665,0.01696515055147349,1.2879422266576153,1.4234248434335777,1.42579313429158
Bwk,,113.22042761070394,39.05039647274642,5.22400806623529,12.112603361081122,9.670995881521222,174.77448231433627,6.9078033940052395,5.1791119521602935,175.65037879420956,403.39935469217187,25.10873669289151,17.899854735757692,177.38182836876507,,,32.0738161220815,55.125160758325,1282.2306874226,20.01668099814646,-6.522040690504774,21.149969173859432,43.20097102342814,-3.314632699167493,-28.51001849568434,-2.965998766954396,13.829993834771887,26.740044182806532,1.8299938347718865,20.02003699136868,100.0,87334.20833691499,85656.52373612823,87345.68672934649,88689.1308569667,359.8904623011134,,10.5,1304.1700061652282,338.2382546239954,217.2598643649815,339.93988902589393,464.3800863131936,240.99062240598184,,,868.6599876695437,78.30740770190026,,2.0,515.5798397040691,28260.54893140977,,194.5,128082.21871146733,9230.71170530231,,195.5,60172.520036991365,204.1911289935476,212.1293156596794,2.7944946820288834,,2.270006165227561,19.04796547472266,7.085590475492815,1.0,6.0,34.31997533908755,0.3020025604197441,0.047154336090294124,0.32346224117391104,0.1013031612030132,0.01706672497235293,1.266526766906253,1.4500286318745264,1.458655193789174
